Date,Company,Revenue,NetIncome,OperatingExpenses,MarketCap,StockPrice,PERatio
2020-03-31,Meta,17737,4902,12835,585000,165.91,26.5
2020-06-30,Meta,18687,5178,13509,603000,173.18,27.2
2020-09-30,Meta,21470,7846,13624,765000,263.11,32.8
2020-12-31,Meta,28072,11219,16853,780000,273.16,28.9
2021-03-31,Meta,26171,9497,16674,850000,301.84,30.2
2021-06-30,Meta,29077,10394,18683,950000,336.35,31.5
2021-09-30,Meta,29010,9194,19784,920000,323.57,29.8
2021-12-31,Meta,33671,10285,23511,910000,336.35,27.4
2022-03-31,Meta,27908,7465,20460,565000,208.45,18.9
2022-06-30,Meta,28822,6687,22075,445000,164.89,14.2
2022-09-30,Meta,27714,4395,22054,320000,120.34,11.3
2022-12-31,Meta,32165,4652,25766,330000,124.74,12.8
2023-03-31,Meta,28645,5709,22893,520000,210.97,22.1
2023-06-30,Meta,32000,7788,24912,750000,291.34,28.3
2023-09-30,Meta,34146,11583,23734,850000,305.49,25.8
2023-12-31,Meta,40111,14017,26139,1020000,353.96,30.2
2024-03-31,Meta,36455,12369,24086,1150000,437.87,33.8
2024-06-30,Meta,39071,13465,25606,1200000,456.23,35.1
2024-09-30,Meta,40589,15688,24901,1280000,495.78,37.4
2020-03-31,Apple,58313,11249,47064,1100000,254.29,20.5
2020-06-30,Apple,59685,11253,48432,1350000,364.80,26.8
2020-09-30,Apple,64698,12673,52025,1900000,108.86,32.4
2020-12-31,Apple,111439,28755,82684,2100000,132.69,36.5
2021-03-31,Apple,89584,23630,65954,2200000,133.00,29.8
2021-06-30,Apple,81434,21744,59690,2400000,145.86,28.6
2021-09-30,Apple,83360,20551,62809,2500000,142.90,28.4
2021-12-31,Apple,123945,34630,89315,2900000,179.45,31.2
2022-03-31,Apple,97278,25010,72268,2700000,174.31,28.5
2022-06-30,Apple,82959,19442,63517,2450000,161.51,26.2
2022-09-30,Apple,90146,20721,69425,2350000,142.48,23.5
2022-12-31,Apple,117154,29998,87156,2100000,129.93,21.5
2023-03-31,Apple,94836,24160,70676,2600000,169.59,27.8
2023-06-30,Apple,81797,19881,61916,3000000,193.97,31.5
2023-09-30,Apple,89498,22956,66542,2800000,189.46,29.5
2023-12-31,Apple,119575,33916,85659,3050000,185.64,30.8
2024-03-31,Apple,90753,23636,67117,2750000,169.30,28.2
2024-06-30,Apple,85778,21448,64330,3200000,214.29,33.5
2024-09-30,Apple,94930,24206,70724,3500000,231.65,35.8
2020-03-31,Amazon,75452,2535,72917,1150000,96.73,83.4
2020-06-30,Amazon,88912,5243,83669,1600000,134.27,125.6
2020-09-30,Amazon,96145,6331,89814,1650000,159.04,91.2
2020-12-31,Amazon,125555,7222,118333,1640000,163.45,77.3
2021-03-31,Amazon,108518,8107,100411,1700000,167.59,68.4
2021-06-30,Amazon,113080,7778,105302,1750000,172.18,61.2
2021-09-30,Amazon,110812,3156,107656,1700000,164.61,58.9
2021-12-31,Amazon,137412,14323,123089,1650000,166.72,52.3
2022-03-31,Amazon,116444,-3844,120288,1250000,120.09,102.5
2022-06-30,Amazon,121234,2536,118698,1150000,113.00,94.8
2022-09-30,Amazon,127101,2872,124229,1000000,96.79,87.6
2022-12-31,Amazon,149204,278,148926,850000,84.00,305.4
2023-03-31,Amazon,127358,3172,124186,1050000,102.06,87.5
2023-06-30,Amazon,134383,6750,127633,1350000,130.36,78.4
2023-09-30,Amazon,143083,9879,133204,1400000,127.74,65.8
2023-12-31,Amazon,169961,10624,159337,1550000,151.94,52.9
2024-03-31,Amazon,143313,10431,132882,1750000,174.49,48.3
2024-06-30,Amazon,147977,13485,134492,1850000,186.73,42.7
2024-09-30,Amazon,158877,15328,143549,1950000,189.52,38.9
2020-03-31,Netflix,5768,709,5059,195000,366.50,72.3
2020-06-30,Netflix,6148,720,5428,210000,476.43,81.5
2020-09-30,Netflix,6436,790,5646,225000,508.25,74.8
2020-12-31,Netflix,6644,542,6102,230000,524.96,88.6
